;language:;French;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;French Web 2012;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
85;avant;8306493;0,017136148;;;;;;;;;;;;;;;;;;;;;;
86;moi;8268649;0,017058077;;;;;;;;;;;;;;;;;;;;;;
87;toujours;8048739;0,016604406;;;;;;;;;;;;;;;;;;;;;;
88;leurs;8008722;0,016521852;;;;;;;;;;;;;;;;;;;;;;
89;monde;7960824;0,016423039;;;;;;;;;;;;;;;;;;;;;;
90;car;7945958;0,016392371;;;;;;;;;;;;;;;;;;;;;;
91;moins;7903431;0,016304639;;;;;;;;;;;;;;;;;;;;;;
92;depuis;7848150;0,016190595;;;;;;;;;;;;;;;;;;;;;;
93;ans;7765860;0,016020832;;;;;;;;;;;;;;;;;;;;;;
94;dont;7628254;0,015736953;;;;;;;;;;;;;;;;;;;;;;
95;bon;7494247;0,015460499;;;;;;;;;;;;;;;;;;;;;;
96;vie;7486002;0,01544349;;;;;;;;;;;;;;;;;;;;;;
97;quelques;7388070;0,015241458;;;;;;;;;;;;;;;;;;;;;;
98;ma;7351710;0,015166448;;;;;;;;;;;;;;;;;;;;;;
99;soit;7168048;0,014787556;;;;;;;;;;;;;;;;;;;;;;
100;sous;6969098;0,014377126;;;;;;;;;;;;;;;;;;;;;;
101;beaucoup;6934885;0,014306545;;;;;;;;;;;;;;;;;;;;;;
102;toute;6929437;0,014295306;;;;;;;;;;;;;;;;;;;;;;
103;contre;6898282;0,014231034;;;;;;;;;;;;;;;;;;;;;;
104;va;6852163;0,014135891;;;;;;;;;;;;;;;;;;;;;;
105;voir;6824788;0,014079417;;;;;;;;;;;;;;;;;;;;;;
106;dit;6741786;0,013908185;;;;;;;;;;;;;;;;;;;;;;
107;faut;6734181;0,013892496;;;;;;;;;;;;;;;;;;;;;;
108;rien;6613576;0,01364369;;;;;;;;;;;;;;;;;;;;;;
109;l?;6542240;0,013496526;;;;;;;;;;;;;;;;;;;;;;
110;toutes;6442229;0,013290205;;;;;;;;;;;;;;;;;;;;;;
111;dire;6345448;0,013090547;;;;;;;;;;;;;;;;;;;;;;
112;cas;6263381;0,012921244;;;;;;;;;;;;;;;;;;;;;;
113;nos;6232558;0,012857657;;;;;;;;;;;;;;;;;;;;;;
114;puis;6173550;0,012735925;;;;;;;;;;;;;;;;;;;;;;
